sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
25907401,Andrea handkerchief hem lace dress,,,simple,,,,,,2019-09-03,2023-10-26,4,"220710,220713,220716,220719","06,08,10,12",pink,169.99,
25907502,Carla Petite Fitted Peplum Blouse,,,simple,,,,,,2019-04-26,2023-10-26,4,"168758,168761,168764,168767","06,08,10,12",navy disty floral,59.99,
25907701,Bethany Lock and Logo Bracelet,,,simple,,,,,,2019-03-12,2023-10-26,1,159500,00,rose gold,16.99,
25907801,Diana Stone Mini Hoop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159314,00,rose gold,16.99,
25907901,Luciana Wrap Midi Dress,,,simple,,,,,,2019-09-03,2023-10-26,7,"222312,222315,222318,222321,222324,222327,222330","04,06,08,10,12,14,16",sunset drive,139.99,
25908002,Lettie Wrap Front Fitted Bodysuit,,,simple,,,,,,2019-07-03,2023-10-26,6,"178638,178644,178650,178656,178662,178668","l,m,s,xl,xs,xxs",black,69.99,
25908201,Madison Button Gloves,,,simple,,,,,,2019-04-23,2023-10-26,1,168053,00,black,29.99,
25908202,Madison Button Gloves,,,simple,,,,,,2019-04-23,2023-10-26,1,168044,00,navy,29.99,
25908901,Aneesa Twist Front Mini Dress,,,simple,,,,,,2019-06-03,2023-10-26,7,"174745,174748,174751,174754,174757,174760,174763","04,06,08,10,12,14,16",black,129.99,
25909001,Lana Lace Up Bodice Mini Dress,,,simple,,,,,,2019-07-03,2023-10-26,7,"178530,178533,178536,178539,178542,178545,178548","04,06,08,10,12,14,16",black floral print,129.99,
25909101,Charlie Wrap Split Front Midi,,,simple,,,,,,2019-07-03,2023-10-26,7,"178887,178890,178893,178896,178899,178902,178905","04,06,08,10,12,14,16",rust spot print,79.99,
25909202,Stella Button Front Midi Skirt,,,simple,,,,,,2019-09-03,2023-10-26,7,"224253,224256,224259,224262,224265,224268,224271","04,06,08,10,12,14,16",soft botanical,89.99,
25909302,Martha Satin Military Shirt,,,simple,,,,,,2019-06-11,2023-10-26,7,"175462,175465,175468,175471,175474,175477,175480","04,06,08,10,12,14,16",blush,79.99,
25909401,Grace Two-Part Pointed Court Heels,,,simple,,,,,,2019-04-29,2023-10-26,7,"168941,168944,168947,168950,168953,168956,168959","36,37,38,39,40,41,42",black,79.99,
25909402,Grace Two-Part Pointed Court Heels,,,simple,,,,,,2019-04-29,2023-10-26,7,"168974,168977,168980,168983,168986,168989,168992","36,37,38,39,40,41,42",teal,79.99,
25909501,Charlie Charm Chain Scarf,,,simple,,,,,,2019-03-26,2023-10-26,1,162329,00,black/gold,29.99,
25909601,Sienna Floral Chain Scarf,,,simple,,,,,,2019-02-19,2023-10-26,1,155842,00,multi,29.99,
25909701,Amanda Embroidery Spot Scarf,,,simple,,,,,,2019-02-26,2023-10-26,1,157321,00,porcelain/black,29.99,
25909801,Paige Paisley Scarf,,,simple,,,,,,2019-03-26,2023-10-26,1,162299,00,blue,29.99,
25911001,Ruby Twist Neck Key Hole PM Top,,,simple,,,,,,2019-05-16,2023-10-26,5,"171431,171434,171437,171440,171443","l,m,s,xs,xxs",black,59.99,
25911201,Eva PU Embroidered Spot Gloves,,,simple,,,,,,2019-04-23,2023-10-26,2,"168047,168050","m_l,s_m",black,39.99,
25911301,Hannah Check Scarf,,,simple,,,,,,2019-04-29,2023-10-26,1,168965,00,pink/grey/white,39.99,
25911401,Ariel Knit Colourblock Snood,,,simple,,,,,,2019-04-09,2023-10-26,1,165077,00,multi,39.99,
25911501,Scarlet Metallic Boucle Scarf,,,simple,,,,,,2019-04-02,2023-10-26,1,163436,00,grey/silver,39.99,
25911601,Zia Zebra Scarf,,,simple,,,,,,2019-06-04,2023-10-26,1,175048,00,grey/black,39.99,
25911801,Ivy Cape Maxi Dress,,,simple,,,,,,2019-08-20,2023-10-26,8,"186654,186657,186660,186663,186666,186669,186672,186675","04,06,08,10,12,14,16,18",black spot,159.99,
25911901,Ariel Colourblock Beanie,,,simple,,,,,,2019-04-09,2023-10-26,1,165065,00,multi,24.99,
25912001,Kendall Faux Fur Snood,,,simple,,,,,,2019-04-09,2023-10-26,1,165068,00,black,39.99,
25912101,Kiki Asymmetric Bodice Eyelet Mini Dress,,,simple,,,,,,2019-07-03,2023-10-26,8,"178482,178485,178488,178494,178500,178512,178521,178524","04,06,08,10,12,14,16,18",black,149.99,
25912201,Sienna Midi Dress,,,simple,,,,,,2019-05-23,2023-10-26,7,"173387,173390,173393,173396,173399,173402,173405","04,06,08,10,12,14,16",black,149.99,
25912202,Sienna Midi Dress,,,simple,,,,,,2019-10-25,2023-10-26,8,"263828,263831,263834,263840,263843,263846,263849,263861","04,06,08,10,12,14,16,18",berry,159.99,
25912701,Carrie Satin Slip Skirt,,,simple,,,,,,2019-05-23,2023-10-26,7,"172718,172721,172724,172727,172730,172733,172736","04,06,08,10,12,14,16",zebra print,79.99,
25912801,Summer Lock Charm Bracelet,,,simple,,,,,,2019-02-14,2023-10-26,1,155410,00,gold,16.99,
25912901,Sierra Slingback Block Court Heels,,,simple,,,,,,2019-04-02,2023-10-26,7,"163343,163346,163349,163352,163355,163358,163361","36,37,38,39,40,41,42",check,79.99,
25912902,Sierra Slingback Block Court Heels,,,simple,,,,,,2019-04-03,2023-10-26,7,"163751,163754,163757,163760,163763,163766,163769","36,37,38,39,40,41,42",berry,79.99,
25912903,Sierra Slingback Block Court Heels,,,simple,,,,,,2019-04-03,2023-10-26,7,"163730,163733,163736,163739,163742,163745,163748","36,37,38,39,40,41,42",black,79.99,
25913401,Anastasisa Hanky Hem Dress,,,simple,,,,,,2019-05-23,2023-10-26,7,"172973,172976,172979,172982,172985,172988,172991","04,06,08,10,12,14,16",dark botanical floral,169.99,
25913601,9351746327533,,,simple,,,,,,2019-09-03,2023-10-26,7,"238350,238353,238356,238359,238362,238365,238368","04,06,08,10,12,14,16",navy,179.99,
25913602,Harley Hanky Hem Lace Dress,,,simple,,,,,,2019-08-20,2023-10-26,8,"186699,186702,186705,186708,186711,186714,186717,186720","04,06,08,10,12,14,16,18",porcelain,159.99,
25913701,Violet Grown On Sleeve Top,,,simple,,,,,,2019-09-03,2023-10-26,12,"221382,221385,221388,221391,221394,221397,221400,221403,221406,221409,221412,221415","04,06,08,10,12,14,16,l,m,s,xs,xxs",porcelain,59.99,
25913801,Milan Plunge Neck Satin Gown,,,simple,,,,,,2019-08-16,2023-10-26,8,"185919,185922,185925,185928,185931,185934,185937,185940","04,06,08,10,12,14,16,18",lilac,189.99,
